regression_period,lookback_period,entry_z,stop_z,takeprofit_z,risk_percent,tp_multiple,min_correlation,sl_type,tp_type,stoploss_percent,max_lots,avg_split_sharpe,combined_sharpe,split_0_sharpe,split_1_sharpe,split_2_sharpe,split_3_sharpe,split_4_sharpe,split_5_sharpe,split_6_sharpe,split_7_sharpe,split_8_sharpe,split_9_sharpe,split_10_sharpe,split_11_sharpe,split_12_sharpe,split_13_sharpe,split_14_sharpe
252,20,0.0,3.0,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-278.46516518997936,0.9153606395806156,9.649086552799773,-7.284453613060476,-12.393012969564971,-28.466877404059037,-999.0,-999.0,-16.52843428687258,-18.94028551756973,-24.861270159488146,-23.410022412212804,-27.794335410090895,-999.0,-999.0,14.765345822232886,-45.71321845180483
252,20,0.0,3.1,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-277.73073052998586,-5.6423132939753895,0.21778708312255035,-12.364757607311475,-27.327139350323172,-23.85139576854542,-999.0,-999.0,-1.9955773169935676,-13.161503833283485,-27.670131900020735,-16.736662413376788,-18.09277946945269,-999.0,-999.0,18.29579997512022,-47.27459734872409
252,20,0.0,3.2,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-277.9461384493168,-5.153615892215231,-2.537866825816465,-12.16016490683446,-30.957986037969306,-27.59102938309366,-999.0,-999.0,-10.909118664828986,-15.971957280901927,-17.684629954375474,-13.35519155882926,-29.325850820055482,-999.0,-999.0,16.807997341945946,-29.506278648992136
252,20,0.0,3.4,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-270.5771056965876,-4.113520781467258,-6.0160692845099755,-16.507817157155188,2.543203086363492,-22.187898299132005,-999.0,-999.0,16.149931828867842,-7.055701074002008,8.65349104878922,0.9998100250577385,-18.492391301158,-999.0,-999.0,24.183896211220237,-44.92704053315532
252,20,0.0,1.0,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-291.3584637183389,3.190563967534475,-52.112812259222025,-45.45617655247518,-18.266289438853224,-30.524727156851938,-999.0,-999.0,-27.798783438875123,-35.898502313213186,-35.09108194087436,-48.43689634824863,-69.8992965344361,-999.0,-999.0,14.824276117681924,-25.71666590971572
252,20,0.0,3.3,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-276.73188271091493,-0.9255176864455972,-8.050331546727923,-17.064422875326517,-18.86773323928721,-23.94852510078541,-999.0,-999.0,-0.7826040466696814,-15.891091913763937,-22.654128067354037,-14.872062162872945,-13.149642315518356,-999.0,-999.0,18.807467923503598,-38.50516731892055
252,20,0.0,3.5,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-267.5257160304607,4.762358264187022,-11.24390946538051,-8.222067565875367,1.7505011500078667,-6.29670963490058,-999.0,-999.0,13.742305383825055,-15.720896102808277,15.869742309165328,-8.738874214119571,7.379500735512964,-999.0,-999.0,25.08497706528122,-30.490310117618716
252,20,0.0,3.6,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-267.4207185781236,2.5779383744296007,-19.794156474155898,12.351163286837476,11.80544346033972,-16.16711331736985,-999.0,-999.0,13.444527458822359,-12.135460802376475,14.858904193253755,1.4507981824872753,-8.98812777776898,-999.0,-999.0,25.82552349161918,-37.96228037354305
252,20,0.0,3.7,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-266.72474956354984,1.4945177988599845,-13.306012065271357,1.1147171866753254,15.870388769891427,-20.32050083404191,-999.0,-999.0,16.642944079400046,-5.861881177544263,14.123167102595204,-9.721620931099059,-10.790804523637727,-999.0,-999.0,24.894348937263914,-17.515989997479565
252,20,0.0,1.1,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-287.98728204002157,5.879126252377159,9.733023072973772,-60.94987785255526,-18.09072889862487,-42.79674921776177,-999.0,-999.0,-65.29142559218768,-56.13314735612387,-35.683433856559205,-39.12168417174589,-24.43198778637255,-999.0,-999.0,11.606888341142534,-2.650107282508474
252,20,0.0,3.8,4.8,1.0,2.0,0.2,SL_ZScore,TP_Multiple,2.5,5.0,-264.67807686502846,4.91209821956199,-0.5315325610442108,-2.029098663837692,9.812120284273693,10.63309615722478,-999.0,-999.0,13.926868423607917,-5.248357361092225,15.851759307364677,-3.4919982963472145,-3.1076788140756073,-999.0,-999.0,22.267922940373925,-32.25425439187499
