Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,EntryZScore,StopZScore
9898,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.8
9999,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,9.9
10100,-0.03,-3196.63,-1598.315,0,-0.2618,-0.0338,0,58.33,2,0,10
1,-0.83,-1772.46,-31.09579,0.70332,-0.32551,-0.82519,0,36.3,57,0.1,0
102,-0.83,-1772.46,-31.09579,0.70332,-0.32551,-0.82519,0,36.3,57,0.1,0.1
203,-2.93,-3766.43,-99.11658,0.32752,-0.77951,-2.92918,0,32.21,38,0.1,0.2
304,-1.1,-2977.22,-156.69579,0.51192,-0.56348,-1.09707,0,35.22,19,0.1,0.3
405,-0.84,-2460.44,-136.69111,0.59216,-0.50147,-0.8441,0,32.71,18,0.1,0.4
506,-1.31,-2586.61,-55.03426,0.69977,-0.51629,-1.31343,0,33.4,47,0.1,0.5
607,-0.82,-1867.29,-84.87682,0.7266,-0.42685,-0.81629,0,29.16,22,0.1,0.6
708,-0.87,-2569.88,-142.77111,0.58696,-0.51214,-0.86933,0,33.45,18,0.1,0.7
809,-0.75,-2210.73,-122.81833,0.61435,-0.47204,-0.75339,0,31.22,18,0.1,0.8
910,-0.53,-2216.37,-147.758,0.59506,-0.47259,-0.52914,0,31.27,15,0.1,0.9
1011,-0.91,-2018.69,-87.76913,0.68268,-0.45042,-0.91067,0,29.88,23,0.1,1
1112,-0.88,-2535.64,-158.4775,0.60856,-0.50855,-0.88407,0,33.24,16,0.1,1.1
1213,-0.88,-2535.64,-158.4775,0.60856,-0.50855,-0.88407,0,33.24,16,0.1,1.2
1314,-0.34,-2004.95,-154.22692,0.63677,-0.44589,-0.34249,0,29.98,13,0.1,1.3
1415,-0.34,-1987.05,-152.85,0.63901,-0.4437,-0.3397,0,29.86,13,0.1,1.4
1516,-0.22,-1520.02,-126.66833,0.70676,-0.37515,-0.21585,0,27.01,12,0.1,1.5
1617,-0.78,-1856.85,-88.42143,0.72479,-0.42571,-0.78085,0,29.08,21,0.1,1.6
1718,-0.22,-1531.81,-127.65083,0.70516,-0.37696,-0.21741,0,27.09,12,0.1,1.7
1819,-0.33,-1613.57,-115.255,0.69277,-0.39069,-0.33077,0,27.53,14,0.1,1.8
1920,-0.22,-1517.1,-126.425,0.70716,-0.3747,-0.2154,0,26.99,12,0.1,1.9
2021,-0.2,-1776.97,-161.54273,0.66716,-0.41524,-0.20482,0,28.53,11,0.1,2
2122,-0.24,-1708.79,-142.39917,0.67883,-0.40442,-0.2418,0,28.17,12,0.1,2.1
2223,-2.97,-3895.98,-67.17207,0.70476,-0.72437,-2.97305,0,34.83,58,0.1,2.2
