<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.09	16:00:00	0.88995	0.89015	0.88943	0.88988	2788	0	22
2024.01.09	17:00:00	0.88987	0.89040	0.88929	0.88961	2086	0	24
2024.01.09	18:00:00	0.88963	0.88971	0.88911	0.88951	1580	0	21
2024.01.09	19:00:00	0.88951	0.88994	0.88903	0.88987	1919	0	25
2024.01.09	20:00:00	0.88987	0.89000	0.88903	0.88965	1422	0	2
2024.01.09	21:00:00	0.88964	0.89007	0.88924	0.88977	1398	0	8
2024.01.09	22:00:00	0.88986	0.89010	0.88857	0.88879	368	0	5
2024.01.09	23:00:00	0.88790	0.88963	0.88771	0.88891	920	0	99
2024.01.10	00:00:00	0.88893	0.88986	0.88880	0.88958	886	0	5
2024.01.10	01:00:00	0.88958	0.89086	0.88919	0.89013	1377	0	3
2024.01.10	02:00:00	0.89013	0.89185	0.89013	0.89160	1601	0	25
2024.01.10	03:00:00	0.89160	0.89246	0.89153	0.89194	1371	0	6
2024.01.10	04:00:00	0.89194	0.89294	0.89193	0.89225	1198	0	6
2024.01.10	05:00:00	0.89226	0.89290	0.89212	0.89251	772	0	2
2024.01.10	06:00:00	0.89252	0.89292	0.89235	0.89287	748	0	5
2024.01.10	07:00:00	0.89287	0.89296	0.89187	0.89195	1152	0	5
2024.01.10	08:00:00	0.89192	0.89286	0.89172	0.89265	2061	0	22
2024.01.10	09:00:00	0.89265	0.89306	0.89198	0.89269	1946	0	22
2024.01.10	10:00:00	0.89269	0.89318	0.89246	0.89297	1713	0	7
2024.01.10	11:00:00	0.89297	0.89320	0.89248	0.89256	1218	0	4
2024.01.10	12:00:00	0.89256	0.89271	0.89203	0.89230	1181	0	2
2024.01.10	13:00:00	0.89230	0.89300	0.89207	0.89220	1381	0	3
2024.01.10	14:00:00	0.89219	0.89239	0.89144	0.89194	2024	0	23
2024.01.10	15:00:00	0.89194	0.89212	0.89098	0.89130	2447	0	24
2024.01.10	16:00:00	0.89130	0.89193	0.89086	0.89172	2827	0	22
2024.01.10	17:00:00	0.89173	0.89184	0.89072	0.89107	2008	0	22
2024.01.10	18:00:00	0.89108	0.89173	0.89099	0.89150	1335	0	20
2024.01.10	19:00:00	0.89150	0.89189	0.89111	0.89182	1600	0	5
2024.01.10	20:00:00	0.89184	0.89224	0.89146	0.89203	835	0	2
2024.01.10	21:00:00	0.89206	0.89236	0.89140	0.89173	1723	0	6
2024.01.10	22:00:00	0.89188	0.89227	0.89155	0.89160	366	0	5
2024.01.10	23:00:00	0.89088	0.89198	0.89036	0.89160	449	0	74
2024.01.11	00:00:00	0.89159	0.89235	0.89155	0.89215	681	0	6
2024.01.11	01:00:00	0.89215	0.89320	0.89210	0.89281	1054	0	6
2024.01.11	02:00:00	0.89281	0.89350	0.89281	0.89312	1505	0	25
2024.01.11	03:00:00	0.89312	0.89374	0.89283	0.89308	1327	0	4
2024.01.11	04:00:00	0.89310	0.89384	0.89304	0.89377	868	0	4
2024.01.11	05:00:00	0.89377	0.89400	0.89325	0.89341	802	0	3
2024.01.11	06:00:00	0.89339	0.89375	0.89299	0.89307	1040	0	2
2024.01.11	07:00:00	0.89307	0.89325	0.89238	0.89289	1181	0	22
2024.01.11	08:00:00	0.89286	0.89340	0.89261	0.89264	1290	0	8
2024.01.11	09:00:00	0.89262	0.89314	0.89221	0.89224	1543	0	24
2024.01.11	10:00:00	0.89224	0.89286	0.89197	0.89255	1312	0	5
2024.01.11	11:00:00	0.89255	0.89257	0.89159	0.89184	1169	0	8
2024.01.11	12:00:00	0.89185	0.89232	0.89168	0.89186	1112	0	4
2024.01.11	13:00:00	0.89189	0.89218	0.89065	0.89181	1490	0	23
2024.01.11	14:00:00	0.89183	0.89284	0.88804	0.88835	6152	0	22
2024.01.11	15:00:00	0.88839	0.89037	0.88796	0.88872	6625	0	21
2024.01.11	16:00:00	0.88869	0.88897	0.88708	0.88752	5737	0	22
2024.01.11	17:00:00	0.88752	0.88791	0.88655	0.88711	4042	0	25
2024.01.11	18:00:00	0.88709	0.88767	0.88664	0.88718	2782	0	23
2024.01.11	19:00:00	0.88718	0.88909	0.88706	0.88899	2046	0	5
2024.01.11	20:00:00	0.88899	0.89007	0.88887	0.88993	1980	0	25
2024.01.11	21:00:00	0.88994	0.89011	0.88921	0.89006	1788	0	9
2024.01.11	22:00:00	0.89007	0.89052	0.88934	0.88951	563	0	6
2024.01.11	23:00:00	0.88955	0.89018	0.88829	0.88987	944	0	88
2024.01.12	00:00:00	0.88987	0.89079	0.88980	0.89074	1278	0	6
2024.01.12	01:00:00	0.89076	0.89117	0.89030	0.89078	1251	0	25
2024.01.12	02:00:00	0.89078	0.89277	0.89047	0.89245	1791	0	7
2024.01.12	03:00:00	0.89245	0.89260	0.89186	0.89213	1598	0	24
2024.01.12	04:00:00	0.89213	0.89260	0.89208	0.89225	1156	0	21
2024.01.12	05:00:00	0.89225	0.89225	0.89115	0.89169	922	0	5
2024.01.12	06:00:00	0.89167	0.89195	0.89079	0.89081	1182	0	3
2024.01.12	07:00:00	0.89082	0.89160	0.89082	0.89128	1134	0	6
2024.01.12	08:00:00	0.89128	0.89142	0.89045	0.89128	2085	0	5
2024.01.12	09:00:00	0.89128	0.89252	0.89128	0.89217	2244	0	22
2024.01.12	10:00:00	0.89217	0.89237	0.89139	0.89155	1790	0	20
2024.01.12	11:00:00	0.89155	0.89183	0.89109	0.89123	1562	0	24
2024.01.12	12:00:00	0.89126	0.89136	0.88988	0.89068	1543	0	20
2024.01.12	13:00:00	0.89071	0.89113	0.89010	0.89047	1378	0	24
2024.01.12	14:00:00	0.89047	0.89321	0.88998	0.89221	4608	0	24
