<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.05	16:00:00	1.27688	1.27866	1.27545	1.27584	7410	0	17
2024.06.05	17:00:00	1.27585	1.27777	1.27568	1.27686	4095	0	17
2024.06.05	18:00:00	1.27685	1.27817	1.27619	1.27769	3109	0	17
2024.06.05	19:00:00	1.27769	1.27836	1.27737	1.27823	2519	0	4
2024.06.05	20:00:00	1.27824	1.27937	1.27814	1.27916	2223	0	4
2024.06.05	21:00:00	1.27915	1.27937	1.27883	1.27910	1780	0	4
2024.06.05	22:00:00	1.27908	1.27915	1.27835	1.27852	592	0	5
2024.06.05	23:00:00	1.27838	1.27879	1.27795	1.27844	1144	0	12
2024.06.06	00:00:00	1.27848	1.27903	1.27839	1.27896	694	0	11
2024.06.06	01:00:00	1.27897	1.27941	1.27894	1.27938	614	0	1
2024.06.06	02:00:00	1.27928	1.28026	1.27925	1.28014	1433	0	1
2024.06.06	03:00:00	1.28014	1.28083	1.28012	1.28070	2331	0	18
2024.06.06	04:00:00	1.28071	1.28071	1.28006	1.28017	1756	0	3
2024.06.06	05:00:00	1.28016	1.28025	1.27964	1.27987	1149	0	4
2024.06.06	06:00:00	1.27980	1.27995	1.27935	1.27945	1358	0	18
2024.06.06	07:00:00	1.27943	1.27956	1.27904	1.27927	1599	0	17
2024.06.06	08:00:00	1.27926	1.27976	1.27874	1.27973	2475	0	17
2024.06.06	09:00:00	1.27975	1.27995	1.27853	1.27910	2886	0	17
2024.06.06	10:00:00	1.27911	1.27911	1.27748	1.27864	2553	0	17
2024.06.06	11:00:00	1.27864	1.27906	1.27788	1.27840	2151	0	2
2024.06.06	12:00:00	1.27838	1.27874	1.27769	1.27799	2254	0	1
2024.06.06	13:00:00	1.27799	1.27809	1.27666	1.27698	2286	0	1
2024.06.06	14:00:00	1.27697	1.27908	1.27647	1.27779	5878	0	17
2024.06.06	15:00:00	1.27775	1.27862	1.27617	1.27837	5720	0	17
2024.06.06	16:00:00	1.27838	1.27884	1.27676	1.27718	4137	0	17
2024.06.06	17:00:00	1.27714	1.27861	1.27714	1.27829	2894	0	2
2024.06.06	18:00:00	1.27830	1.27867	1.27753	1.27776	2325	0	17
2024.06.06	19:00:00	1.27776	1.27946	1.27771	1.27931	2029	0	4
2024.06.06	20:00:00	1.27931	1.27948	1.27820	1.27936	2308	0	4
2024.06.06	21:00:00	1.27936	1.27952	1.27861	1.27890	2164	0	4
2024.06.06	22:00:00	1.27890	1.27945	1.27888	1.27907	929	0	7
2024.06.06	23:00:00	1.27864	1.27928	1.27854	1.27905	904	0	9
2024.06.07	00:00:00	1.27908	1.27940	1.27898	1.27922	422	0	11
2024.06.07	01:00:00	1.27919	1.27938	1.27885	1.27917	646	0	4
2024.06.07	02:00:00	1.27916	1.27920	1.27847	1.27876	1982	0	3
2024.06.07	03:00:00	1.27876	1.27908	1.27827	1.27901	2036	0	3
2024.06.07	04:00:00	1.27902	1.27908	1.27859	1.27886	1736	0	1
2024.06.07	05:00:00	1.27890	1.27904	1.27867	1.27879	1760	0	2
2024.06.07	06:00:00	1.27879	1.27910	1.27873	1.27898	1337	0	18
2024.06.07	07:00:00	1.27898	1.27907	1.27829	1.27838	1621	0	1
2024.06.07	08:00:00	1.27836	1.27961	1.27810	1.27941	2781	0	17
2024.06.07	09:00:00	1.27940	1.28015	1.27897	1.27996	3109	0	17
2024.06.07	10:00:00	1.27998	1.28003	1.27816	1.27878	3022	0	17
2024.06.07	11:00:00	1.27878	1.27993	1.27859	1.27952	2636	0	17
2024.06.07	12:00:00	1.27951	1.27975	1.27899	1.27913	1968	0	17
