<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.06.23	15:00:00	94.274	94.308	94.106	94.218	5186	0	6
2025.06.23	16:00:00	94.216	94.348	94.130	94.334	6588	0	6
2025.06.23	17:00:00	94.333	94.383	94.229	94.245	8068	0	8
2025.06.23	18:00:00	94.246	94.290	94.043	94.046	5442	0	8
2025.06.23	19:00:00	94.043	94.124	93.861	93.981	5634	0	8
2025.06.23	20:00:00	93.985	94.382	93.957	94.316	5712	0	8
2025.06.23	21:00:00	94.317	94.357	94.238	94.349	4148	0	10
2025.06.23	22:00:00	94.348	94.367	94.281	94.356	2559	0	10
2025.06.23	23:00:00	94.356	94.429	94.314	94.357	2193	0	9
2025.06.24	00:00:00	94.346	94.382	94.216	94.349	410	0	91
2025.06.24	01:00:00	94.331	94.484	94.316	94.460	3130	0	9
2025.06.24	02:00:00	94.466	94.564	94.405	94.511	3637	0	8
2025.06.24	03:00:00	94.509	94.529	94.316	94.352	5971	0	8
2025.06.24	04:00:00	94.352	94.451	94.256	94.404	4875	0	8
2025.06.24	05:00:00	94.405	94.473	94.300	94.466	4141	0	8
2025.06.24	06:00:00	94.468	94.479	94.308	94.386	3454	0	8
2025.06.24	07:00:00	94.385	94.480	94.346	94.461	3313	0	8
2025.06.24	08:00:00	94.459	94.475	94.355	94.396	3597	0	8
2025.06.24	09:00:00	94.393	94.532	94.337	94.521	5725	0	8
2025.06.24	10:00:00	94.524	94.552	94.274	94.362	6225	0	6
2025.06.24	11:00:00	94.359	94.398	94.224	94.355	5311	0	6
2025.06.24	12:00:00	94.353	94.522	94.342	94.372	4623	0	6
2025.06.24	13:00:00	94.365	94.466	94.329	94.434	3039	0	5
2025.06.24	14:00:00	94.430	94.478	94.336	94.354	3543	0	6
2025.06.24	15:00:00	94.356	94.417	94.266	94.296	6821	0	6
2025.06.24	16:00:00	94.296	94.347	94.112	94.149	5843	0	6
2025.06.24	17:00:00	94.151	94.242	94.081	94.180	7290	0	8
2025.06.24	18:00:00	94.179	94.289	94.111	94.151	5134	0	7
2025.06.24	19:00:00	94.152	94.191	94.096	94.135	3210	0	9
2025.06.24	20:00:00	94.136	94.205	94.079	94.181	3020	0	8
2025.06.24	21:00:00	94.180	94.191	94.091	94.113	2244	0	10
2025.06.24	22:00:00	94.113	94.131	94.059	94.065	2213	0	10
2025.06.24	23:00:00	94.065	94.109	93.967	94.015	2090	0	9
2025.06.25	00:00:00	94.047	94.096	93.955	93.964	523	0	100
