<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.07.02	00:00:00	1.07385	1.07415	1.07368	1.07373	734	0	1
2024.07.02	01:00:00	1.07373	1.07377	1.07356	1.07363	969	0	1
2024.07.02	02:00:00	1.07365	1.07386	1.07329	1.07347	2354	0	50
2024.07.02	03:00:00	1.07348	1.07365	1.07319	1.07345	1934	0	1
2024.07.02	04:00:00	1.07345	1.07360	1.07320	1.07351	1334	0	1
2024.07.02	05:00:00	1.07351	1.07356	1.07308	1.07323	1255	0	50
2024.07.02	06:00:00	1.07323	1.07333	1.07282	1.07295	1313	0	50
2024.07.02	07:00:00	1.07295	1.07329	1.07269	1.07319	1706	0	1
2024.07.02	08:00:00	1.07319	1.07359	1.07247	1.07249	3695	0	50
2024.07.02	09:00:00	1.07250	1.07282	1.07119	1.07181	6271	0	50
2024.07.02	10:00:00	1.07183	1.07240	1.07142	1.07208	4728	0	50
2024.07.02	11:00:00	1.07208	1.07227	1.07105	1.07109	4061	0	1
2024.07.02	12:00:00	1.07108	1.07189	1.07099	1.07172	3192	0	50
2024.07.02	13:00:00	1.07173	1.07246	1.07149	1.07239	2671	0	1
2024.07.02	14:00:00	1.07240	1.07336	1.07240	1.07317	4531	0	1
2024.07.02	15:00:00	1.07316	1.07468	1.07299	1.07420	7905	0	1
2024.07.02	16:00:00	1.07420	1.07456	1.07240	1.07431	11251	0	1
2024.07.02	17:00:00	1.07431	1.07445	1.07332	1.07363	4491	0	1
2024.07.02	18:00:00	1.07363	1.07366	1.07307	1.07320	2577	0	1
2024.07.02	19:00:00	1.07321	1.07406	1.07316	1.07383	1934	0	1
2024.07.02	20:00:00	1.07383	1.07429	1.07381	1.07421	1569	0	1
2024.07.02	21:00:00	1.07421	1.07465	1.07416	1.07461	2128	0	1
2024.07.02	22:00:00	1.07462	1.07473	1.07448	1.07449	1016	0	1
2024.07.02	23:00:00	1.07376	1.07453	1.07360	1.07445	612	0	15
2024.07.03	00:00:00	1.07446	1.07480	1.07446	1.07479	77	0	5
2024.07.03	06:00:00	1.07378	1.07390	1.07356	1.07373	280	0	30
2024.07.03	07:00:00	1.07373	1.07468	1.07355	1.07457	1577	0	30
2024.07.03	08:00:00	1.07456	1.07604	1.07456	1.07583	2256	0	30
2024.07.03	09:00:00	1.07584	1.07622	1.07541	1.07569	1694	0	30
2024.07.03	10:00:00	1.07568	1.07610	1.07531	1.07539	1718	0	30
2024.07.03	11:00:00	1.07539	1.07614	1.07513	1.07571	1474	0	30
2024.07.03	12:00:00	1.07572	1.07609	1.07550	1.07563	1436	0	30
2024.07.03	13:00:00	1.07562	1.07577	1.07550	1.07553	346	0	30
2024.07.03	14:00:00	1.07819	1.07849	1.07816	1.07841	663	0	1
2024.07.03	15:00:00	1.07841	1.07924	1.07830	1.07893	2307	0	1
2024.07.03	16:00:00	1.07893	1.08168	1.07893	1.08059	16793	0	1
2024.07.03	17:00:00	1.08058	1.08091	1.07970	1.07987	5998	0	1
2024.07.03	18:00:00	1.07988	1.08004	1.07918	1.07958	3169	0	0
2024.07.03	19:00:00	1.07957	1.07959	1.07819	1.07835	1901	0	0
2024.07.03	20:00:00	1.07834	1.07846	1.07781	1.07802	1737	0	0
2024.07.03	21:00:00	1.07801	1.07877	1.07797	1.07848	1404	0	0
2024.07.03	22:00:00	1.07848	1.07885	1.07789	1.07852	1745	0	0
2024.07.03	23:00:00	1.07840	1.07873	1.07772	1.07851	556	0	11
2024.07.04	00:00:00	1.07851	1.07902	1.07849	1.07896	425	0	0
2024.07.04	01:00:00	1.07896	1.07917	1.07882	1.07911	915	0	0
2024.07.04	02:00:00	1.07911	1.07939	1.07887	1.07925	2011	0	0
2024.07.04	03:00:00	1.07927	1.07950	1.07884	1.07908	2148	0	0
2024.07.04	04:00:00	1.07907	1.07916	1.07862	1.07864	1084	0	0
2024.07.04	05:00:00	1.07863	1.07875	1.07836	1.07852	955	0	0
2024.07.04	06:00:00	1.07853	1.07873	1.07848	1.07865	874	0	0
2024.07.04	07:00:00	1.07864	1.07908	1.07848	1.07901	1349	0	0
2024.07.04	08:00:00	1.07901	1.07935	1.07849	1.07925	3701	0	0
2024.07.04	09:00:00	1.07924	1.07965	1.07889	1.07944	4208	0	0
2024.07.04	10:00:00	1.07945	1.08031	1.07939	1.08018	4079	0	0
2024.07.04	11:00:00	1.08017	1.08030	1.07952	1.07977	3038	0	0
2024.07.04	12:00:00	1.07978	1.08015	1.07939	1.08010	2418	0	0
2024.07.04	13:00:00	1.08009	1.08020	1.07961	1.07970	2391	0	0
2024.07.04	14:00:00	1.07969	1.08022	1.07959	1.07970	2921	0	1
2024.07.04	15:00:00	1.07971	1.08016	1.07947	1.08009	2835	0	0
2024.07.04	16:00:00	1.08009	1.08091	1.07993	1.08081	3272	0	0
2024.07.04	17:00:00	1.08081	1.08138	1.08068	1.08106	1908	0	2
2024.07.04	18:00:00	1.08106	1.08136	1.08095	1.08122	790	0	2
2024.07.04	19:00:00	1.08121	1.08128	1.08106	1.08115	298	0	2
2024.07.04	20:00:00	1.08115	1.08125	1.08112	1.08119	315	0	2
2024.07.04	21:00:00	1.08118	1.08130	1.08118	1.08128	546	0	2
2024.07.04	22:00:00	1.08129	1.08136	1.08092	1.08097	489	0	2
2024.07.04	23:00:00	1.08086	1.08114	1.08086	1.08111	806	0	15
2024.07.05	00:00:00	1.08113	1.08137	1.08101	1.08116	542	0	0
2024.07.05	01:00:00	1.08117	1.08118	1.08092	1.08104	787	0	0
2024.07.05	02:00:00	1.08104	1.08180	1.08101	1.08148	2035	0	0
2024.07.05	03:00:00	1.08147	1.08180	1.08138	1.08158	1890	0	0
2024.07.05	04:00:00	1.08159	1.08181	1.08142	1.08180	1118	0	0
2024.07.05	05:00:00	1.08180	1.08245	1.08178	1.08218	1998	0	0
2024.07.05	06:00:00	1.08219	1.08228	1.08197	1.08220	1247	0	0
2024.07.05	07:00:00	1.08220	1.08225	1.08191	1.08214	1339	0	0
2024.07.05	08:00:00	1.08214	1.08259	1.08188	1.08192	2600	0	0
2024.07.05	09:00:00	1.08192	1.08303	1.08164	1.08289	4400	0	0
2024.07.05	10:00:00	1.08290	1.08305	1.08227	1.08281	3102	0	0
2024.07.05	11:00:00	1.08281	1.08307	1.08256	1.08264	2498	0	0
2024.07.05	12:00:00	1.08264	1.08319	1.08220	1.08247	2701	0	0
2024.07.05	13:00:00	1.08247	1.08252	1.08183	1.08189	2373	0	0
2024.07.05	14:00:00	1.08190	1.08421	1.07945	1.08296	19231	0	1
2024.07.05	15:00:00	1.08295	1.08342	1.08142	1.08192	11327	0	1
2024.07.05	16:00:00	1.08191	1.08262	1.08106	1.08241	8094	0	1
2024.07.05	17:00:00	1.08242	1.08307	1.08191	1.08277	4984	0	0
2024.07.05	18:00:00	1.08277	1.08304	1.08232	1.08256	2714	0	0
2024.07.05	19:00:00	1.08255	1.08304	1.08248	1.08278	2107	0	0
2024.07.05	20:00:00	1.08279	1.08374	1.08276	1.08370	1716	0	0
2024.07.05	21:00:00	1.08369	1.08427	1.08365	1.08415	2092	0	0
2024.07.05	22:00:00	1.08413	1.08413	1.08354	1.08366	1901	0	0
2024.07.08	00:00:00	1.08174	1.08329	1.08174	1.08245	2019	0	0
2024.07.08	01:00:00	1.08246	1.08280	1.08218	1.08257	1637	0	0
2024.07.08	02:00:00	1.08257	1.08294	1.08189	1.08215	2565	0	0
2024.07.08	03:00:00	1.08216	1.08296	1.08200	1.08292	2343	0	0
2024.07.08	04:00:00	1.08291	1.08302	1.08251	1.08260	1940	0	0
2024.07.08	05:00:00	1.08261	1.08365	1.08259	1.08314	1726	0	0
2024.07.08	06:00:00	1.08315	1.08317	1.08272	1.08287	1274	0	0
2024.07.08	07:00:00	1.08287	1.08301	1.08208	1.08224	1861	0	0
2024.07.08	08:00:00	1.08224	1.08293	1.08146	1.08216	4867	0	0
2024.07.08	09:00:00	1.08216	1.08382	1.08208	1.08369	6964	0	0
2024.07.08	10:00:00	1.08369	1.08430	1.08346	1.08384	4983	0	0
2024.07.08	11:00:00	1.08383	1.08419	1.08353	1.08380	3868	0	0
2024.07.08	12:00:00	1.08381	1.08395	1.08314	1.08318	2060	0	0
2024.07.08	13:00:00	1.08307	1.08310	1.08235	1.08298	1439	0	0
2024.07.08	14:00:00	1.08297	1.08334	1.08268	1.08334	3406	0	0
2024.07.08	15:00:00	1.08335	1.08446	1.08322	1.08436	5002	0	1
2024.07.08	16:00:00	1.08437	1.08450	1.08383	1.08411	5247	0	0
2024.07.08	17:00:00	1.08411	1.08448	1.08321	1.08346	4993	0	0
2024.07.08	18:00:00	1.08347	1.08362	1.08311	1.08347	3609	0	0
2024.07.08	19:00:00	1.08346	1.08362	1.08285	1.08324	2265	0	0
2024.07.08	20:00:00	1.08323	1.08336	1.08295	1.08320	1588	0	0
2024.07.08	21:00:00	1.08319	1.08319	1.08234	1.08260	1632	0	0
2024.07.08	22:00:00	1.08260	1.08265	1.08223	1.08250	1846	0	0
2024.07.08	23:00:00	1.08251	1.08251	1.08227	1.08237	893	0	0
2024.07.09	00:00:00	1.08237	1.08250	1.08237	1.08242	123	0	11
2024.07.09	01:00:00	1.08243	1.08259	1.08240	1.08257	520	0	0
2024.07.09	02:00:00	1.08257	1.08314	1.08256	1.08305	998	0	0
2024.07.09	03:00:00	1.08305	1.08334	1.08261	1.08270	1660	0	0
2024.07.09	04:00:00	1.08270	1.08298	1.08226	1.08235	1798	0	0
2024.07.09	05:00:00	1.08235	1.08275	1.08191	1.08263	1920	0	0
2024.07.09	06:00:00	1.08263	1.08298	1.08257	1.08281	1164	0	0
2024.07.09	07:00:00	1.08282	1.08313	1.08277	1.08294	1072	0	0
2024.07.09	08:00:00	1.08295	1.08307	1.08263	1.08287	1548	0	0
2024.07.09	09:00:00	1.08286	1.08302	1.08239	1.08248	2711	0	0
2024.07.09	10:00:00	1.08247	1.08298	1.08170	1.08175	4344	0	0
2024.07.09	11:00:00	1.08175	1.08242	1.08151	1.08224	3530	0	0
2024.07.09	12:00:00	1.08224	1.08261	1.08187	1.08227	2651	0	0
2024.07.09	13:00:00	1.08227	1.08285	1.08201	1.08222	2757	0	0
2024.07.09	14:00:00	1.08221	1.08241	1.08120	1.08137	3753	0	0
2024.07.09	15:00:00	1.08138	1.08177	1.08126	1.08156	4316	0	0
2024.07.09	16:00:00	1.08157	1.08262	1.08157	1.08219	4977	0	0
2024.07.09	17:00:00	1.08218	1.08282	1.08093	1.08156	10917	0	0
2024.07.09	18:00:00	1.08156	1.08193	1.08053	1.08126	6289	0	0
2024.07.09	19:00:00	1.08126	1.08163	1.08058	1.08100	3450	0	0
2024.07.09	20:00:00	1.08100	1.08139	1.08064	1.08091	3088	0	0
2024.07.09	21:00:00	1.08091	1.08141	1.08081	1.08134	2310	0	0
2024.07.09	22:00:00	1.08133	1.08160	1.08108	1.08143	2120	0	0
2024.07.09	23:00:00	1.08143	1.08165	1.08129	1.08134	852	0	0
2024.07.10	00:00:00	1.08133	1.08150	1.08090	1.08142	614	0	13
2024.07.10	01:00:00	1.08150	1.08153	1.08136	1.08144	394	0	0
2024.07.10	02:00:00	1.08145	1.08159	1.08139	1.08142	556	0	0
2024.07.10	03:00:00	1.08143	1.08167	1.08112	1.08122	1583	0	0
2024.07.10	04:00:00	1.08121	1.08152	1.08108	1.08145	1544	0	0
2024.07.10	05:00:00	1.08146	1.08169	1.08118	1.08168	1924	0	0
2024.07.10	06:00:00	1.08168	1.08211	1.08164	1.08200	983	0	0
2024.07.10	07:00:00	1.08201	1.08206	1.08175	1.08184	1280	0	0
2024.07.10	08:00:00	1.08185	1.08212	1.08159	1.08176	1227	0	0
2024.07.10	09:00:00	1.08177	1.08233	1.08147	1.08221	2751	0	0
2024.07.10	10:00:00	1.08221	1.08250	1.08151	1.08162	4338	0	0
2024.07.10	11:00:00	1.08161	1.08199	1.08118	1.08154	3418	0	0
2024.07.10	12:00:00	1.08153	1.08250	1.08144	1.08187	3360	0	0
2024.07.10	13:00:00	1.08188	1.08241	1.08134	1.08216	2881	0	0
2024.07.10	14:00:00	1.08215	1.08270	1.08197	1.08256	2766	0	0
2024.07.10	15:00:00	1.08254	1.08282	1.08233	1.08270	3759	0	0
