<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.03.07	22:00:00	1.07198	1.07219	1.07119	1.07123	1614	0	22
2024.03.07	23:00:00	1.07051	1.07212	1.07039	1.07117	1374	0	34
2024.03.08	00:00:00	1.07152	1.07176	1.07130	1.07155	1783	0	1
2024.03.08	01:00:00	1.07155	1.07231	1.07140	1.07215	3979	0	21
2024.03.08	02:00:00	1.07214	1.07330	1.07183	1.07318	4712	0	22
2024.03.08	03:00:00	1.07318	1.07319	1.07238	1.07299	4161	0	22
2024.03.08	04:00:00	1.07296	1.07364	1.07296	1.07359	3753	0	22
2024.03.08	05:00:00	1.07358	1.07358	1.07290	1.07312	3797	0	22
2024.03.08	06:00:00	1.07315	1.07399	1.07304	1.07385	3528	0	22
2024.03.08	07:00:00	1.07384	1.07424	1.07370	1.07402	3573	0	22
2024.03.08	08:00:00	1.07405	1.07405	1.07330	1.07364	5078	0	22
2024.03.08	09:00:00	1.07364	1.07386	1.07325	1.07352	5724	0	22
2024.03.08	10:00:00	1.07356	1.07416	1.07322	1.07414	5774	0	21
2024.03.08	11:00:00	1.07413	1.07448	1.07388	1.07440	5055	0	22
2024.03.08	12:00:00	1.07441	1.07460	1.07409	1.07438	5319	0	22
2024.03.08	13:00:00	1.07442	1.07446	1.07304	1.07348	3868	0	22
2024.03.08	14:00:00	1.07349	1.07351	1.07151	1.07196	8461	0	21
2024.03.08	15:00:00	1.07196	1.07235	1.07105	1.07127	8817	0	22
2024.03.08	16:00:00	1.07126	1.07261	1.07114	1.07235	7669	0	22
2024.03.08	17:00:00	1.07234	1.07288	1.07181	1.07225	6370	0	22
2024.03.08	18:00:00	1.07227	1.07272	1.07217	1.07225	7108	0	22
2024.03.08	19:00:00	1.07225	1.07231	1.07188	1.07223	5262	0	22
2024.03.08	20:00:00	1.07223	1.07246	1.07209	1.07221	4094	0	22
2024.03.08	21:00:00	1.07219	1.07235	1.07181	1.07214	2741	0	22
2024.03.08	22:00:00	1.07214	1.07273	1.07113	1.07125	1626	0	5
2024.03.11	00:00:00	1.07181	1.07278	1.07174	1.07264	1751	0	6
2024.03.11	01:00:00	1.07266	1.07278	1.07164	1.07190	3894	0	22
2024.03.11	02:00:00	1.07188	1.07226	1.07168	1.07195	4997	0	22
2024.03.11	03:00:00	1.07195	1.07200	1.07113	1.07128	4280	0	22
2024.03.11	04:00:00	1.07130	1.07144	1.07081	1.07120	3302	0	21
2024.03.11	05:00:00	1.07119	1.07147	1.07083	1.07103	2920	0	21
2024.03.11	06:00:00	1.07102	1.07110	1.07057	1.07080	3489	0	22
2024.03.11	07:00:00	1.07078	1.07102	1.07054	1.07087	3910	0	22
2024.03.11	08:00:00	1.07091	1.07120	1.07066	1.07083	3417	0	21
2024.03.11	09:00:00	1.07084	1.07138	1.07040	1.07132	4685	0	21
2024.03.11	10:00:00	1.07133	1.07190	1.07125	1.07129	5467	0	22
2024.03.11	11:00:00	1.07129	1.07150	1.07078	1.07085	4214	0	22
2024.03.11	12:00:00	1.07085	1.07099	1.07034	1.07057	3631	0	22
2024.03.11	13:00:00	1.07054	1.07068	1.07022	1.07060	3576	0	21
2024.03.11	14:00:00	1.07061	1.07069	1.06985	1.06993	6071	0	22
2024.03.11	15:00:00	1.06994	1.07109	1.06981	1.07106	7078	0	21
2024.03.11	16:00:00	1.07104	1.07107	1.07020	1.07077	6826	0	21
2024.03.11	17:00:00	1.07077	1.07127	1.07036	1.07125	5831	0	22
2024.03.11	18:00:00	1.07125	1.07134	1.07084	1.07108	5321	0	22
2024.03.11	19:00:00	1.07107	1.07144	1.07061	1.07134	3744	0	22
2024.03.11	20:00:00	1.07139	1.07178	1.07129	1.07172	2276	0	6
2024.03.11	21:00:00	1.07170	1.07192	1.07154	1.07176	2695	0	22
2024.03.11	22:00:00	1.07177	1.07201	1.07107	1.07149	1187	0	10
2024.03.11	23:00:00	1.07005	1.07176	1.06523	1.07127	2242	0	42
2024.03.12	00:00:00	1.07150	1.07198	1.07089	1.07187	1546	0	7
2024.03.12	01:00:00	1.07191	1.07222	1.07174	1.07189	2523	0	22
2024.03.12	02:00:00	1.07188	1.07288	1.07167	1.07257	4226	0	22
2024.03.12	03:00:00	1.07257	1.07278	1.07161	1.07243	4435	0	22
2024.03.12	04:00:00	1.07244	1.07260	1.07147	1.07162	5478	0	22
2024.03.12	05:00:00	1.07162	1.07202	1.07134	1.07145	4251	0	22
2024.03.12	06:00:00	1.07146	1.07178	1.07104	1.07173	2774	0	21
2024.03.12	07:00:00	1.07174	1.07192	1.07134	1.07168	3840	0	21
2024.03.12	08:00:00	1.07168	1.07216	1.07140	1.07210	5391	0	22
2024.03.12	09:00:00	1.07211	1.07264	1.07194	1.07253	6009	0	22
2024.03.12	10:00:00	1.07254	1.07328	1.07234	1.07322	5335	0	22
2024.03.12	11:00:00	1.07323	1.07360	1.07293	1.07323	3550	0	9
2024.03.12	12:00:00	1.07326	1.07348	1.07300	1.07313	4580	0	22
2024.03.12	13:00:00	1.07312	1.07358	1.07270	1.07301	5569	0	22
2024.03.12	14:00:00	1.07303	1.07341	1.07155	1.07279	9263	0	22
2024.03.12	15:00:00	1.07279	1.07361	1.07252	1.07308	9995	0	22
2024.03.12	16:00:00	1.07308	1.07367	1.07295	1.07362	8262	0	22
2024.03.12	17:00:00	1.07364	1.07398	1.07312	1.07322	7079	0	21
2024.03.12	18:00:00	1.07325	1.07359	1.07310	1.07337	6269	0	21
